PlayerName,Oponent,Tournament,GroundNumerico,Prize,TournamentYear,NumeroSets,DiffIMC,DiffAge,DiffRank,QTDBelgas,Finals,SumMainHand,SumTrainer,TipoTorneio
Eduardo Peralta-Tello,James Junior Storme,Belgium F6,1,10000,2013,2,0.0,5,-182.0,1,0,1,0,Melhor_de_3
David Fleming,James Junior Storme,Belgium F6,1,10000,2014,2,-3.5062089116143156,2,360.0,1,0,1,1,Melhor_de_3
Arthur De Greef,James Junior Storme,Belgium F6,1,10000,2012,2,-0.9921555306768539,2,-609.0,2,0,1,1,Melhor_de_3
Julien Cagnina,James Junior Storme,Belgium F4,1,10000,2013,2,-1.2907610429346086,0,-483.0,1,0,1,0,Melhor_de_3
Julien Cagnina,James Junior Storme,Belgium F8,1,10000,2014,2,-1.2907610429346086,0,-483.0,1,0,1,0,Melhor_de_3
Dayne Kelly,James Junior Storme,Belgium F4,1,10000,2015,2,0.0,4,-379.0,1,0,1,0,Melhor_de_3
Kimmer Coppejans,James Junior Storme,Belgium F7,1,10000,2013,2,-1.8027036045054068,0,-544.0,2,0,1,1,Melhor_de_3
Johan Tatlot,James Junior Storme,Belgium F13,1,10000,2014,2,1.9010000991982992,-2,300.0,1,0,1,1,Melhor_de_3
Michael Geerts,James Junior Storme,Belgium F14,1,10000,2014,3,-0.06595444108452497,-1,-506.0,2,0,1,1,Melhor_de_3
Jeroen Vanneste,James Junior Storme,Belgium F8,1,10000,2013,2,-0.9921555306768539,0,1000.0,1,0,1,0,Melhor_de_3
Joris De Loore,James Junior Storme,Belgium F9,1,10000,2013,2,0.7835572632353198,1,-524.0,2,0,1,1,Melhor_de_3
Joris De Loore,James Junior Storme,Belgium F10,1,10000,2013,2,0.7835572632353198,1,-524.0,2,0,1,1,Melhor_de_3
Yannik Reuter,James Junior Storme,Belgium F3,1,10000,2011,2,0.0,3,-265.0,2,0,1,0,Melhor_de_3
Taro Daniel,James Junior Storme,Belgium F1,1,10000,2012,2,0.23532667745094216,1,-613.0,1,0,1,0,Melhor_de_3
Romain Bogaerts,Julien Dubail,Belgium F3,1,10000,2013,3,0.5627830405538852,-5,721.0,1,0,1,1,Melhor_de_3
Louis Cant,Julien Dubail,Belgium F11,1,10000,2014,3,1.8501984581248045,-2,654.0,2,0,2,0,Melhor_de_3
Louis Cant,Julien Dubail,Belgium F7,1,10000,2011,3,1.8501984581248045,-2,654.0,2,0,2,0,Melhor_de_3
Lennart Zynga,Julien Dubail,Belgium F3,1,10000,2012,2,1.8501984581248045,-3,524.0,1,0,2,0,Melhor_de_3
Eric Fomba,Julien Dubail,Belgium F8,1,10000,2014,3,1.8501984581248045,-7,586.0,1,0,2,0,Melhor_de_3
Dimitar Grabul,Julien Dubail,Belgium F8,1,10000,2013,3,1.8501984581248045,7,522.0,1,0,2,0,Melhor_de_3
Rabie Chaki,Julien Dubail,Belgium F3,1,10000,2008,2,1.8501984581248045,6,-38.0,1,0,2,0,Melhor_de_3
Raphael Durek,Julien Dubail,Mons,2,156635,2008,2,1.411583402708704,4,-221.0,1,0,2,0,Melhor_de_3
Matthew Illingworth,Julien Dubail,Belgium F2,1,10000,2008,2,1.8501984581248045,1,637.0,1,0,2,0,Melhor_de_3
Ralph Grambow,Julien Dubail,Belgium F1,1,15000,2006,2,1.8501984581248045,9,-5.0,1,0,2,0,Melhor_de_3
