,PlayerName,Born,Height,Hand,LinkPlayer,Weight,Birt,Treinador,Rank
129,Marius Zay,Germany,185.0,Right-Handed,https://www.atptour.com/en/players/marius-zay/z115/player-activity?year=all&matchType=Singles,78.0,1982-10-25,,797
130,Antoine Tassart,France,185.0,Right-Handed,https://www.atptour.com/en/players/antoine-tassart/t801/player-activity?year=all&matchType=Singles,78.0,1985-01-03,,832
131,Alberto Martin,Spain,175.0,"Right-Handed, One-Handed Backhand",https://www.atptour.com/en/players/alberto-martin/m590/player-activity?year=all&matchType=Singles,73.0,1978-08-20,Marcos Gorriz,
132,Sebastian Rieschick,Germany,185.0,"Right-Handed, Unknown Backhand",https://www.atptour.com/en/players/sebastian-rieschick/r758/player-activity?year=all&matchType=Singles,78.0,1986-02-15,,199
133,Jean-Noel Insausti,France,185.0,Right-Handed,https://www.atptour.com/en/players/jean-noel-insausti/i255/player-activity?year=all&matchType=Singles,78.0,1984-03-15,,769
134,Thomas Cazes-Carrere,France,185.0,Right-Handed,https://www.atptour.com/en/players/thomas-cazes-carrere/c885/player-activity?year=all&matchType=Singles,78.0,1984-05-05,,530
135,Martin Slanar,Austria,185.0,"Right-Handed, Unknown Backhand",https://www.atptour.com/en/players/martin-slanar/s893/player-activity?year=all&matchType=Singles,78.0,1981-05-01,,94
136,Baptiste Dupuy,France,185.0,Left-Handed,https://www.atptour.com/en/players/baptiste-dupuy/d463/player-activity?year=all&matchType=Singles,78.0,1981-01-16,,573
137,Carl Bergman,Sweden,185.0,Right-Handed,https://www.atptour.com/en/players/carl-bergman/be77/player-activity?year=all&matchType=Singles,78.0,1987-10-10,,475
138,Dawid Olejniczak,Poland,185.0,"Right-Handed, Unknown Backhand",https://www.atptour.com/en/players/dawid-olejniczak/o253/player-activity?year=all&matchType=Singles,78.0,1983-03-01,,206
139,Maxime Tabatruong,France,180.0,"Right-Handed, Two-Handed Backhand",https://www.atptour.com/en/players/maxime-tabatruong/tb20/player-activity?year=all&matchType=Singles,72.0,1989-09-24,,360
140,Michal Schmid,Czech Republic,185.0,Right-Handed,https://www.atptour.com/en/players/michal-schmid/sj52/player-activity?year=all&matchType=Singles,78.0,1988-11-28,,437
141,Juan Lizariturry,Spain,185.0,Right-Handed,https://www.atptour.com/en/players/juan-lizariturry/l996/player-activity?year=all&matchType=Singles,78.0,1991-04-20,,329
142,Nicolas Demeroutis,Belgium,185.0,Right-Handed,https://www.atptour.com/en/players/nicolas-demeroutis/d0fe/player-activity?year=all&matchType=Singles,78.0,2000-12-16,,1683
143,Antoine Damiens,France,185.0,"Right-Handed, Unknown Backhand",https://www.atptour.com/en/players/antoine-damiens/d0ae/player-activity?year=all&matchType=Singles,78.0,1999-03-15,,1605
144,Aliaksandr Bury,,203.0,"Right-Handed, One-Handed Backhand",https://www.atptour.com/en/players/aliaksandr-bury/bd83/player-activity?year=all&matchType=Singles,93.0,1987-09-14,,
