PlayerName,Born,Height,Hand,LinkPlayer,Weight,Birt,Treinador,Rank
Maxime Hinnisdaels,Belgium,185.0,"Right-Handed, Two-Handed Backhand",https://www.atptour.com/en/players/maxime-hinnisdaels/hb80/player-activity?year=all&matchType=Singles,78.0,1995-03-20,,1702
Nikolai Fidirko,"Olomouc, Czech Republic",185.0,"Right-Handed, Unknown Backhand",https://www.atptour.com/en/players/nikolai-fidirko/f620/player-activity?year=all&matchType=Singles,85.0,1987-06-15,Andrei Fidirko,610
Thiago Alves,"Sao Jose do Rio Preto, Brazil",178.0,"Right-Handed, Two-Handed Backhand",https://www.atptour.com/en/players/thiago-alves/a410/player-activity?year=all&matchType=Singles,75.0,1982-05-22,Carlos Albano,88
Igor Kunitsyn,"Vladivostok, Russia",180.0,"Right-Handed, Unknown Backhand",https://www.atptour.com/en/players/igor-kunitsyn/k403/player-activity?year=all&matchType=Singles,75.0,1981-09-30,Allen Fox,35
Jonathan Dasnieres de Veigy,"Nimes, France",175.0,"Left-Handed, Two-Handed Backhand",https://www.atptour.com/en/players/jonathan-dasnieres-de-veigy/d729/player-activity?year=all&matchType=Singles,76.0,1987-01-05,Jerome Potier,146
Bjorn Phau,"Darmstadt, Germany",175.0,"Right-Handed, One-Handed Backhand",https://www.atptour.com/en/players/bjorn-phau/p436/player-activity?year=all&matchType=Singles,70.0,1979-10-04,Robert Orlik,59
James Blake,"Yonkers, New York, USA",185.0,"Right-Handed, One-Handed Backhand",https://www.atptour.com/en/players/james-blake/b676/player-activity?year=all&matchType=Singles,83.0,1979-12-28,,4
Sergei Bubka,"Donestk, Ukraine",188.0,"Right-Handed, Two-Handed Backhand",https://www.atptour.com/en/players/sergei-bubka/bc11/player-activity?year=all&matchType=Singles,88.0,1987-02-10,,145
Paradorn Srichaphan,"Bangkok, Thailand",185.0,"Right-Handed, One-Handed Backhand",https://www.atptour.com/en/players/paradorn-srichaphan/s675/player-activity?year=all&matchType=Singles,82.0,1979-06-14,,9
Dimitar Grabul,Macedonia,185.0,Right-Handed,https://www.atptour.com/en/players/dimitar-grabul/g580/player-activity?year=all&matchType=Singles,78.0,1981-11-05,,893
Ugo Nastasi,"Thionville, France",185.0,"Right-Handed, Two-Handed Backhand",https://www.atptour.com/en/players/ugo-nastasi/n718/player-activity?year=all&matchType=Singles,80.0,1993-04-16,Nicolas Perrein,656
Rudy Coco,France,196.0,"Left-Handed, Two-Handed Backhand",https://www.atptour.com/en/players/rudy-coco/cb36/player-activity?year=all&matchType=Singles,102.0,1984-03-21,,768
